0,1,2,3,4,5,6,7,8,9,Type
5.763303648013117,5.848131609050319,-46.62636146870227,-20.823695518567092,5.83648572834191,5.820307648100207,5.8247632646476495,5.8544467317581255,5.705090976868049,-2.826861165023047,Provider Payoff
-60.689802606849526,5.792341966703517,-14.864361233996078,-48.43746999290488,5.850976220346677,5.672293731602826,5.71512667845551,5.714068602509875,5.846102906438341,5.864843646359477,Provider Payoff
-117.97844847321312,-1.405165748158879,-62.48393300397447,-4.36715979960718,-22.563574809087186,5.4623431122769714,5.5904400969607355,5.7085794468172795,-33.66289103791428,-23.845693917364997,Provider Payoff
-162.85722801876273,-5.969013984853973,-86.97082787594172,5.840065815688954,-43.34874887127967,5.51572845956184,5.546846613367575,5.691976828664152,5.869148710022075,-21.71115726621815,Provider Payoff
-168.58590180410602,-64.65695881917395,-70.06317129264653,5.717856138067818,-69.16920041251797,5.717080719052825,5.636690529215029,5.77954772638144,5.737882455491552,-26.745470249687514,Provider Payoff
-165.02362512577474,-90.62030658641652,-45.77937553580546,5.596405834584947,-133.68455186490155,5.736126275658234,5.708040597994112,5.762632938802998,5.69909247274361,-11.897525148564,Provider Payoff
-94.28750108822624,-70.79943141944409,-21.079210487885348,5.821259152476564,-79.72580504942493,5.74527536217283,5.60650543993985,5.842483462683711,5.7886511002216725,-65.85087949166609,Provider Payoff
-80.8273137695312,-36.2738845854758,-55.75321153173195,5.676943051216773,-104.34437583615136,5.602052346850055,5.603055309884551,-106.71897688875652,5.822816177216451,-36.44960064357133,Provider Payoff
-162.25152933853724,-35.59327958612994,-27.767911334087785,5.60362267944499,-138.4160050884634,5.48396914463894,5.556093915192721,-69.04560233065604,5.762617891316145,-72.98416393306252,Provider Payoff
-139.0598337951119,-57.767502728592945,-15.61818524882301,5.711336272828627,-146.55963683422033,5.4100310400017655,5.577322226692401,-102.29361227156733,5.732382049453632,-1.6568309887088617,Provider Payoff
-74.7589825235766,-11.670755607802676,-26.692210315118018,5.634164983110882,-152.36258135312664,5.446198290126671,5.603866158716015,-114.58352098984096,5.86382446534326,-13.01678323844817,Provider Payoff
-31.355928126580693,5.815038494079426,5.846776293592338,5.588230941599601,-176.74712016611284,5.473458948938852,5.55377579427433,-93.58758036348581,-32.75343070330882,-53.67048652986614,Provider Payoff
5.858991849700408,-29.146140392859706,-43.10297059962841,5.628909023888131,-219.10039562644897,5.5113953516110294,5.411170386157682,5.803047786958307,-11.30664060475874,-41.27729870741655,Provider Payoff
-34.717281175079506,-59.97967288867403,-14.007610761692149,5.68514069510942,-323.27748555520475,5.464331132593907,5.508567524924966,5.5941430140106245,5.752644119073194,-17.51117620911191,Provider Payoff
5.744429160203427,-128.64902477976693,-88.66649176744454,5.664593399327161,-330.81985034416584,5.409841872605795,5.410489004949266,5.650360591865314,5.78039931276322,5.857262741299868,Provider Payoff
5.783836013750577,-176.67523098480297,-66.72613958308057,5.83091455973082,-317.23206082581646,5.481593963037991,5.441775690437286,5.460638142330356,5.8219092188507915,-16.510682918844623,Provider Payoff
-5.4625753921131945,-152.95337509577848,5.756705854946283,5.727237889945054,-314.354720670553,5.349986922144729,5.4430428615233915,5.377241373703118,-7.581848925094619,5.823472858021611,Provider Payoff
-72.50502992247243,-115.96272940121798,5.600190153510635,5.756474343580812,-273.9046192412834,5.30850804492879,5.443074714054437,5.299712635285672,5.838978345620311,5.6884678962789454,Provider Payoff
-115.34330863730565,-103.23088406099941,5.629107651391595,5.778938340095082,-254.8748956356717,5.005401107802969,5.376978568530695,5.131054446998906,-1.2403970011118872,5.766525860990715,Provider Payoff
-173.14467646832736,-51.03798190783823,5.807079327446041,-31.198848520801675,-277.1210875786819,4.992616819786763,5.449819056050024,5.120559068255613,-26.81294602729031,5.756325336883832,Provider Payoff
-149.5956427917008,-85.30527354559808,-14.734747611578996,-19.721251059604583,-221.5545678876897,4.984158018361315,5.385490769600222,5.146233678212309,5.851691298849151,5.665360348620999,Provider Payoff
-127.88413353408805,-89.5149739670369,5.805898850953419,5.852679457983333,-178.5140926330787,4.837143455858231,5.30105641259644,5.133111811552532,-115.4545256893548,-22.237749779272235,Provider Payoff
-45.70561249278967,-41.010465325274254,5.788263503035423,-16.86238643526417,-152.7378620234831,5.01178246011479,5.549183270254865,5.305765168548615,-145.93289212537093,-30.676153179799485,Provider Payoff
-53.757650275561446,-24.313876176114945,5.746773531906459,5.843672200840028,-100.36692198725359,5.098949442694998,5.444550495187689,5.367988928628624,-132.80716502871974,-26.53682879117855,Provider Payoff
-107.4073973180175,-18.191354587121623,5.775573369780898,5.681979369789079,-78.19076888276936,5.115948724415666,5.299527083597855,5.452634023060435,-195.50832432097332,-52.9605155876618,Provider Payoff
-171.0280557114911,-36.21269882450156,5.614549857402292,5.630920490335206,-92.69700508838787,5.119925304670581,5.377854072589185,5.353239147449981,-206.1786129999241,-13.537363692646522,Provider Payoff
-115.31751207531306,-143.60801955131774,5.576665239436749,5.585486395649591,-51.42459316051077,5.263599272994219,5.558292314463595,5.200211344906954,-291.80972291973103,5.82792626725571,Provider Payoff
-70.71905181522493,-143.6720805066293,5.568159660831655,5.77643833542524,-23.439488663806742,5.330531889815243,5.34088395479232,5.025331368897668,-218.98181957078532,5.668194518127333,Provider Payoff
-71.84423413279183,-145.02372078290637,5.3582458946643525,5.767837202275839,-20.432687917682188,5.400921736814583,5.29169760981057,5.000544168110006,-206.1172066968179,5.44879623788575,Provider Payoff
